Quote #,Quote
1,"""Programs must be written for people to read, and only incidentally for machines to execute."""
2,"""Always code as if the guy who ends up maintaining your code will be a violent psychopath who knows where you live."""
3,"""Programming today is a race between software engineers striving to build bigger and better idiot-proof programs, and the Universe trying to produce bigger and better idiots. So far, the Universe is winning."""
4,"""Any fool can write code that a computer can understand. Good programmers write code that humans can understand."""
5,"""I am not a great programmer; I am just a good programmer with great habits."""
6,"""That's the thing about people who think they hate computers. What they really hate is lousy programmers."""
7,"""A language that does not affect the way you think about programming is not worth knowing."""
8,"""Walking on water and developing software from a specification are easy if both are frozen."""
9,"""Perl – The only language that looks the same before and after RSA encryption."""
10,"""The most important property of a program is whether it accomplishes the intention of its user."""
11,"""Programming isn't about what you know; it's about what you can figure out."""
12,"""The only way to learn a new programming language is by writing programs in it."""
13,"""Sometimes it's better to leave something alone, to pause, and that's very true of programming."""
14,"""In some ways, programming is like painting. You start with a blank canvas and certain basic raw materials. You use a combination of science, art, and craft to determine what to do with them."""
15,"""Testing leads to failure, and failure leads to understanding."""
16,"""The best error message is the one that never shows up."""
17,"""The most damaging phrase in the language is... it's always been done this way."""
18,"""Don't write better error messages, write code that doesn't need them."""
19,"""There are two ways to write error-free programs; only the third one works."""
20,"""Deleted code is debugged code."""
